"","film_id","year","length","budget","votes","genre","rating","Rating_above_7"
"1",5993,1943,65,15.5,42,"Action",7.6,"Yes"
"2",37190,1961,87,12.3,6,"Drama",6,"No"
"3",43646,1987,79,16.4,161,"Action",7.5,"Yes"
"4",28476,1976,NA,12.2,5,"Documentary",8,"Yes"
"5",23975,1982,88,12.5,97,"Action",3.5,"No"
"6",50170,1936,NA,7,146,"Drama",4.4,"No"
"7",56142,1932,75,12,14,"Drama",4.5,"No"
"8",2287,1967,100,12.2,8,"Comedy",8.4,"Yes"
"9",17822,1983,82,13.4,141,"Action",3.5,"No"
"10",5935,2003,15,13.9,20,"Action",7.8,"Yes"
"11",51700,1990,86,11.2,121,"Comedy",8.2,"Yes"
"12",12781,1994,96,15.1,119,"Drama",2.9,"No"
"13",42016,2004,150,11.7,5,"Action",4.9,"No"
"14",17501,1983,86,9.9,14,"Action",3.9,"No"
"15",520,1950,102,15.4,48,"Drama",2.6,"No"
"16",50521,2002,78,11.2,1769,"Comedy",5.4,"No"
"17",34430,1986,94,5.9,12,"Drama",4.9,"No"
"18",9019,2001,114,13.7,2195,"Drama",3.8,"No"
"19",29118,1961,112,10.8,174,"Action",4.5,"No"
"20",1483,1967,92,15.3,6,"Comedy",8,"Yes"
"21",7963,1999,23,13.1,13,"Short",7.9,"Yes"
"22",34741,1940,8,7.8,41,"Animation",7.9,"Yes"
"23",42665,1938,56,15.8,23,"Action",8.1,"Yes"
"24",19225,1986,100,9.6,5,"Drama",5,"No"
"25",18808,1972,72,8.4,7,"Drama",4.5,"No"
"26",46723,1987,116,13.4,634,"Drama",2.8,"No"
"27",12878,1999,89,10.7,16,"Action",4.9,"No"
"28",34916,1994,154,15.5,5,"Action",2.9,"No"
"29",36939,2002,104,11.2,164,"Drama",2.9,"No"
"30",49638,1931,3,9.5,20,"Short",8.2,"Yes"
"31",3629,1979,12,14.5,12,"Animation",7.4,"Yes"
"32",54711,1999,6,11.4,15,"Animation",3.7,"No"
"33",20581,1983,85,13.5,187,"Comedy",7.8,"Yes"
"34",11548,1967,NA,18.4,13,"Comedy",8.1,"Yes"
"35",36222,2002,90,13.8,15,"Action",3.6,"No"
"36",57362,1986,98,9.9,543,"Action",4,"No"
"37",55812,1961,110,13.4,36,"Drama",2.7,"No"
"38",45521,1939,84,18.5,30,"Drama",3.2,"No"
"39",47287,1932,90,11.1,10,"Comedy",7.5,"Yes"
"40",38647,1984,90,10.7,5,"Action",4,"No"
"41",4625,1989,201,10,9,"Action",2.3,"No"
"42",45113,1956,16,7.1,35,"Comedy",8.4,"Yes"
"43",29331,2001,113,12,177,"Drama",4.3,"No"
"44",24268,1980,80,15.1,466,"Action",3.1,"No"
"45",45756,1973,NA,12.3,28,"Action",4.4,"No"
"46",57424,1997,117,17,11,"Documentary",7.8,"Yes"
"47",75,1999,92,13.1,25,"Drama",4.1,"No"
"48",39627,1967,13,12.2,111,"Documentary",9,"Yes"
"49",20421,2001,25,11.7,5,"Animation",4,"No"
"50",7481,2000,98,14.5,11784,"Comedy",8.2,"Yes"
"51",13055,1999,64,17,7,"Documentary",8,"Yes"
"52",32114,1972,93,11.6,66,"Drama",4.2,"No"
"53",22759,2001,105,11.6,70,"Action",4.8,"No"
"54",12915,1989,85,6.1,17,"Comedy",4.2,"No"
"55",4888,1996,108,10.4,1444,"Drama",3.3,"No"
"56",46302,1945,86,11.5,20,"Comedy",8.1,"Yes"
"57",46088,2001,107,18.7,58,"Action",8.2,"Yes"
"58",56572,1938,7,15.5,13,"Animation",7.8,"Yes"
"59",3985,1937,19,10,61,"Comedy",8.5,"Yes"
"60",49130,1978,102,12.4,90,"Drama",4.9,"No"
